label,id,filepath,sentence
-1,piece60,phrases/Final_Fantasy_7_ThoseChosenBythePlanet_1," t_120 v_108 d_eighth_0 n_38 . , v_108 d_eighth_0 n_40 , , v_108 d_eighth_0 n_38 v_108 d_eighth_1 n_62 v_108 d_eighth_1 n_65 v_108 d_eighth_1 n_69 , , v_108 d_eighth_0 n_40 , , v_108 d_eighth_0 n_38 v_108 d_eighth_1 n_62 v_108 d_eighth_1 n_65 v_108 d_eighth_1 n_68 , , v_108 d_eighth_0 n_40 , , v_108 d_eighth_0 n_38 v_108 d_eighth_1 n_62 v_108 d_eighth_1 n_65 v_108 d_eighth_1 n_70 , , v_108 d_eighth_0 n_41 , , t_120 v_108 d_eighth_0 n_38 , , v_108 d_eighth_0 n_40 , , v_108 d_eighth_0 n_38 , , v_108 d_eighth_0 n_40 , , v_108 d_eighth_0 n_41 , , v_108 d_eighth_0 n_43 , , v_108 d_eighth_0 n_41 , , v_108 d_eighth_0 n_40 , , t_120 v_108 d_eighth_0 n_38 , , v_108 d_eighth_0 n_40 , , v_108 d_eighth_0 n_38 v_108 d_eighth_1 n_62 v_108 d_eighth_1 n_65 v_108 d_eighth_1 n_69 , , v_108 d_eighth_0 n_40 , , v_108 d_eighth_0 n_38 v_108 d_eighth_1 n_62 v_108 d_eighth_1 n_65 v_108 d_eighth_1 n_69 , , v_108 d_eighth_0 n_40 , , v_108 d_eighth_0 n_38 v_108 d_eighth_1 n_62 v_108 d_eighth_1 n_65 v_108 d_eighth_1 n_68 , , v_108 d_eighth_0 n_41 , , t_120 v_108 d_eighth_0 n_38 , , v_108 d_eighth_0 n_40 , , v_108 d_eighth_0 n_38 , , v_108 d_eighth_0 n_40 , , v_108 d_eighth_0 n_41 , , v_108 d_eighth_0 n_43 , , v_108 d_eighth_0 n_41 , , v_108 d_eighth_0 n_40 , ,"
1,piece88,phrases/Final_Fantasy_7_FortressoftheCondor_13," t_123 v_108 d_eighth_1 n_46 v_108 d_eighth_1 n_70 v_108 d_eighth_1 n_74 , , , , v_108 d_eighth_1 n_46 v_108 d_eighth_1 n_68 v_108 d_eighth_1 n_72 , , , , v_108 d_eighth_1 n_46 v_108 d_whole_0 n_67 v_108 d_whole_0 n_70 v_108 d_whole_0 n_75 , , , , v_108 d_16th_0 n_46 , v_108 d_16th_0 n_46 , v_108 d_16th_0 n_46 , , t_123 v_108 d_eighth_1 n_46 . , , , v_108 d_eighth_1 n_46 , , , , v_108 d_eighth_1 n_46 , , , , v_108 d_eighth_1 n_46 , , , , t_123 v_108 d_eighth_1 n_46 v_108 d_eighth_1 n_67 v_108 d_eighth_1 n_70 v_108 d_eighth_1 n_75 , , , , v_108 d_eighth_1 n_46 v_108 d_16th_0 n_70 v_108 d_16th_0 n_74 , v_108 d_16th_0 n_70 v_108 d_16th_0 n_74 , v_108 d_16th_0 n_70 v_108 d_16th_0 n_74 , , v_108 d_eighth_1 n_46 v_108 d_eighth_1 n_68 v_108 d_eighth_1 n_72 , , , , v_108 d_eighth_1 n_46 v_108 d_eighth_1 n_67 v_108 d_eighth_1 n_70 v_108 d_eighth_1 n_75 , , , , t_123 v_108 d_eighth_1 n_46 v_108 d_eighth_1 n_70 v_108 d_eighth_1 n_74 , , , , v_108 d_eighth_1 n_46 v_108 d_eighth_1 n_68 v_108 d_eighth_1 n_72 , , , , v_108 d_eighth_1 n_52 , , , , v_108 d_16th_0 n_47 , v_108 d_16th_0 n_47 , v_108 d_16th_0 n_47 , ,"
-1,piece58,phrases/Shadow_of_the_Colossus_Prayer_2," t_116 v_92 d_whole_0 n_78 . , , , , , , , , , , , , , , v_92 d_breve_3 n_54 v_92 d_breve_3 n_57 , t_116 v_92 d_breve_3 n_61 v_92 d_whole_0 n_68 v_92 d_breve_0 n_71 , v_92 d_half_0 n_76 , , , , , , , , , , , v_92 d_quarter_0 n_76 , , , , t_116 v_92 d_whole_1 n_78 , , , , , , , , , , , , , , , , t_116 , , , , , , , , v_92 d_whole_0 n_78 , , , , , , , ,"
1,piece15,phrases/Final_Fantasy_7_MainTheme_1," t_120 v_108 d_half_3 n_40 v_108 d_half_3 n_47 v_108 d_half_3 n_56 v_108 d_quarter_2 n_64 . , , , , , , , v_108 d_eighth_1 n_66 , , , , v_108 d_eighth_1 n_68 , , , , t_120 v_108 d_quarter_2 n_37 v_108 d_quarter_2 n_44 v_108 d_quarter_2 n_64 v_108 d_quarter_2 n_68 v_108 d_quarter_2 n_75 , , , , , , , , v_108 d_quarter_2 n_52 v_108 d_quarter_2 n_56 v_108 d_quarter_2 n_61 v_108 d_quarter_2 n_68 v_108 d_quarter_2 n_73 , , , , , , , , t_120 v_108 d_half_0 n_40 v_108 d_half_0 n_47 v_108 d_half_0 n_56 , , , , v_108 d_eighth_1 n_64 , , , , v_108 d_eighth_1 n_66 , , , , v_108 d_eighth_1 n_47 v_108 d_eighth_1 n_56 v_108 d_eighth_1 n_64 v_108 d_eighth_1 n_68 , , , , t_120 v_108 d_half_3 n_45 v_108 d_half_3 n_52 v_108 d_half_3 n_56 v_108 d_half_3 n_61 v_108 d_eighth_1 n_71 , , , , v_108 d_eighth_1 n_69 , , , , v_108 d_eighth_1 n_64 , , , , v_108 d_eighth_1 n_66 , , , ,"
1,piece21,phrases/BanjoKazooie_BoggysIglooHappy_0,"t_140 v_68 d_eighth_0 n_42 v_68 d_quarter_0 n_66 , , , , v_64 d_eighth_0 n_37 v_64 d_eighth_1 n_70 , , , v_64 d_16th_0 n_73 , v_64 d_eighth_0 n_42 v_64 d_quarter_0 n_75 , , , , v_64 d_eighth_0 n_37 v_64 d_16th_0 n_73 , v_64 d_16th_0 n_73 v_64 d_16th_0 n_75 , v_64 d_16th_0 n_73 v_64 d_16th_0 n_75 , v_64 d_16th_0 n_75 , t_140 v_68 d_eighth_0 n_42 v_68 d_16th_0 n_73 , , v_64 d_eighth_0 n_66 , , v_64 d_eighth_0 n_37 v_64 d_eighth_1 n_70 , , , v_64 d_16th_0 n_73 , v_64 d_eighth_0 n_42 v_64 d_quarter_0 n_75 , , , , v_64 d_eighth_0 n_37 v_64 d_quarter_0 n_73 , , , , t_140 v_68 d_eighth_0 n_42 v_68 d_16th_0 n_73 , v_64 d_16th_0 n_72 , v_64 d_16th_0 n_73 , v_64 d_16th_0 n_72 , v_64 d_eighth_0 n_37 v_64 d_quarter_0 n_73 , , , , v_64 d_eighth_0 n_42 v_64 d_16th_0 n_70 , v_64 d_16th_0 n_69 , v_64 d_16th_0 n_70 , v_64 d_16th_0 n_69 , v_64 d_eighth_0 n_37 v_64 d_quarter_0 n_70 , , , , t_140 v_68 d_eighth_0 n_42 v_68 d_16th_0 n_66 , v_64 d_16th_0 n_65 , v_64 d_16th_0 n_66 , v_64 d_16th_0 n_65 , v_64 d_eighth_0 n_37 v_64 d_eighth_0 n_66 , , v_64 d_eighth_0 n_61 , , v_64 d_eighth_0 n_42 v_64 d_eighth_0 n_63 , , v_64 d_eighth_0 n_61 , , v_64 d_eighth_0 n_37 v_64 d_eighth_0 n_60 , , v_64 d_eighth_0 n_61 , ,"
-1,piece49,phrases/Final_Fantasy_7_WeaponRaid_0,"t_129 v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_58 , , v_92 d_eighth_0 n_49 , , v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_61 , , v_92 d_eighth_0 n_49 , , v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_60 , , v_92 d_eighth_0 n_49 , , v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_61 , , v_92 d_eighth_0 n_49 , , t_129 v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_63 , , v_92 d_eighth_0 n_49 , , v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_61 , , v_92 d_eighth_0 n_49 , , v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_60 , , v_92 d_eighth_0 n_49 , , v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_61 , , v_92 d_eighth_0 n_49 , , t_129 v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_65 , , v_92 d_eighth_0 n_49 , , v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_68 , , v_92 d_eighth_0 n_49 , , v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_67 , , v_92 d_eighth_0 n_49 , , v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_68 , , v_92 d_eighth_0 n_49 , , t_129 v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_70 , , v_92 d_eighth_0 n_49 , , v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_68 , , v_92 d_eighth_0 n_49 , , v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_67 , , v_92 d_eighth_0 n_49 , , v_92 d_eighth_0 n_46 v_92 d_eighth_1 n_68 , , v_92 d_eighth_0 n_49 , ,"
1,piece56,phrases/Goldeneye_Statue_21," t_94 v_96 d_whole_0 n_41 v_96 d_whole_0 n_60 v_96 d_whole_0 n_65 v_96 d_whole_0 n_69 , , , , , , , , , , , , , , , ,"
1,piece91,phrases/Donkey_Kong_Country_2_JibJig_6," t_124 v_108 d_eighth_0 n_71 . , v_108 d_16th_0 n_45 v_108 d_16th_0 n_69 , v_108 d_16th_0 n_33 v_108 d_16th_0 n_71 , v_108 d_16th_0 n_33 v_108 d_16th_0 n_45 v_108 d_eighth_0 n_73 , v_108 d_16th_0 n_33 v_108 d_16th_0 n_45 , v_108 d_16th_0 n_33 v_108 d_16th_0 n_45 v_108 d_16th_0 n_69 , , v_108 d_16th_0 n_33 v_108 d_16th_0 n_45 v_108 d_eighth_0 n_73 , , v_108 d_16th_0 n_69 , , v_108 d_16th_0 n_74 , v_108 d_16th_0 n_73 , v_108 d_16th_0 n_71 , , t_124 v_108 d_eighth_0 n_73 , , v_108 d_16th_0 n_45 v_108 d_16th_0 n_69 , v_108 d_16th_0 n_33 , v_108 d_16th_0 n_33 v_108 d_16th_0 n_45 v_108 d_16th_0 n_78 , v_108 d_16th_0 n_33 v_108 d_16th_0 n_45 v_108 d_16th_0 n_76 , v_108 d_16th_0 n_33 v_108 d_16th_0 n_45 v_108 d_16th_0 n_74 , , v_108 d_16th_0 n_33 v_108 d_16th_0 n_45 v_108 d_eighth_0 n_76 , , v_108 d_16th_0 n_73 , , v_108 d_16th_0 n_78 , v_108 d_16th_0 n_80 , v_108 d_16th_0 n_81 , , t_124 v_108 d_eighth_1 n_80 , , , , v_108 d_16th_0 n_42 v_108 d_eighth_0 n_73 , v_108 d_16th_0 n_45 v_108 d_16th_0 n_49 , v_108 d_eighth_0 n_54 v_108 d_eighth_0 n_81 , , , v_108 d_16th_0 n_80 , v_108 d_16th_0 n_78 , , v_108 d_16th_0 n_49 v_108 d_eighth_0 n_80 , v_108 d_16th_0 n_52 v_108 d_16th_0 n_56 , v_108 d_eighth_0 n_61 v_108 d_16th_0 n_76 , , t_124 v_108 d_eighth_0 n_80 , , v_108 d_16th_0 n_76 , , v_108 d_16th_0 n_50 v_108 d_eighth_0 n_69 , v_108 d_16th_0 n_54 v_108 d_16th_0 n_57 , v_108 d_eighth_0 n_62 v_108 d_eighth_0 n_78 , , , v_108 d_16th_0 n_76 , v_108 d_16th_0 n_74 , , v_108 d_16th_0 n_45 v_108 d_eighth_0 n_73 , v_108 d_16th_0 n_49 v_108 d_16th_0 n_52 , v_108 d_eighth_0 n_57 v_108 d_16th_0 n_74 , ,"
-1,piece74,phrases/Shadow_of_the_Colossus_TheOpenedWay_4," t_134 v_88 d_quarter_0 n_47 v_88 d_quarter_0 n_55 v_88 d_quarter_0 n_72 v_88 d_quarter_0 n_76 v_88 d_quarter_0 n_79 v_88 d_quarter_0 n_84 . , , , v_80 d_eighth_0 n_40 v_80 d_eighth_0 n_47 v_80 d_eighth_0 n_71 v_80 d_eighth_0 n_74 v_80 d_eighth_0 n_83 , , v_80 d_eighth_0 n_40 v_80 d_eighth_0 n_47 v_80 d_eighth_0 n_69 v_80 d_eighth_0 n_72 v_80 d_eighth_0 n_81 , , v_76 d_eighth_0 n_40 v_76 d_eighth_0 n_47 v_76 d_eighth_0 n_52 v_88 d_quarter_0 n_71 v_88 d_quarter_0 n_76 v_88 d_quarter_0 n_79 v_88 d_quarter_0 n_83 , , v_88 d_quarter_0 n_40 v_88 d_quarter_0 n_47 , , v_88 d_quarter_0 n_67 v_88 d_quarter_0 n_79 , , v_84 d_eighth_0 n_40 v_84 d_eighth_0 n_43 v_84 d_eighth_0 n_47 , , t_134 v_88 d_quarter_0 n_40 v_88 d_quarter_0 n_43 v_88 d_quarter_0 n_47 v_88 d_quarter_0 n_52 v_88 d_quarter_1 n_69 v_88 d_quarter_1 n_74 v_88 d_quarter_1 n_78 v_88 d_quarter_1 n_81 , , , , v_72 d_eighth_0 n_40 v_72 d_eighth_0 n_43 v_72 d_eighth_0 n_47 , , v_72 d_eighth_0 n_40 v_72 d_eighth_0 n_43 v_72 d_eighth_0 n_47 v_72 d_eighth_0 n_52 v_88 d_16th_0 n_79 , v_88 d_16th_0 n_81 , v_76 d_eighth_0 n_40 v_72 d_eighth_0 n_43 v_76 d_eighth_0 n_47 v_76 d_eighth_0 n_52 v_88 d_half_0 n_71 v_88 d_half_0 n_74 v_88 d_half_0 n_78 v_88 d_half_0 n_83 , , v_88 d_quarter_0 n_40 v_88 d_quarter_0 n_47 , , , , v_88 d_eighth_0 n_40 v_88 d_eighth_0 n_47 , , t_128 v_88 d_quarter_0 n_40 v_88 d_quarter_0 n_48 v_88 d_quarter_0 n_52 v_88 d_quarter_0 n_72 v_88 d_quarter_0 n_76 v_88 d_quarter_0 n_79 v_88 d_quarter_0 n_84 , , , , v_80 d_eighth_0 n_40 v_80 d_eighth_0 n_48 v_80 d_eighth_0 n_52 v_80 d_eighth_0 n_71 v_80 d_eighth_0 n_74 v_80 d_eighth_0 n_83 , , v_76 d_eighth_0 n_40 v_76 d_eighth_0 n_48 v_76 d_eighth_0 n_52 v_76 d_eighth_0 n_69 v_76 d_eighth_0 n_72 v_76 d_eighth_0 n_81 , , v_76 d_eighth_0 n_40 v_72 d_eighth_0 n_45 v_76 d_eighth_0 n_52 v_88 d_quarter_0 n_71 v_88 d_quarter_0 n_76 v_88 d_quarter_0 n_79 v_88 d_quarter_0 n_83 , , v_88 d_quarter_0 n_40 v_88 d_quarter_0 n_48 , , v_88 d_quarter_0 n_67 v_88 d_quarter_0 n_79 , , v_88 d_eighth_0 n_40 v_88 d_eighth_0 n_48 , , t_134 v_88 d_quarter_0 n_40 v_88 d_quarter_0 n_43 v_88 d_quarter_0 n_47 v_88 d_quarter_0 n_52 v_88 d_quarter_1 n_69 v_88 d_quarter_1 n_74 v_88 d_quarter_1 n_78 v_88 d_quarter_1 n_81 , , , , v_72 d_eighth_0 n_40 v_72 d_eighth_0 n_43 v_72 d_eighth_0 n_47 , , v_72 d_eighth_0 n_40 v_72 d_eighth_0 n_43 v_72 d_eighth_0 n_47 v_72 d_eighth_0 n_52 v_88 d_16th_0 n_79 , v_88 d_16th_0 n_81 , v_76 d_eighth_0 n_40 v_72 d_eighth_0 n_43 v_76 d_eighth_0 n_47 v_76 d_eighth_0 n_52 v_88 d_half_0 n_71 v_88 d_half_0 n_74 v_88 d_half_0 n_78 v_88 d_half_0 n_83 , , v_88 d_quarter_0 n_40 v_88 d_quarter_0 n_47 , , , , v_88 d_eighth_0 n_40 v_88 d_eighth_0 n_47 , ,"
1,piece23,phrases/Super_Mario_World_Castle_25," t_120 v_108 d_eighth_0 n_43 v_108 d_eighth_0 n_55 , , v_108 d_eighth_0 n_43 v_108 d_16th_0 n_74 , v_108 d_16th_0 n_72 , v_108 d_eighth_0 n_43 v_108 d_quarter_2 n_65 v_108 d_quarter_2 n_71 v_108 d_quarter_2 n_74 , , v_108 d_eighth_0 n_43 , , v_108 d_eighth_0 n_43 , , v_108 d_eighth_0 n_43 , , , .
"
