label,id,part,repeat,filepath
1,piece27,0,-1,phrases/BanjoKazooie_Motzhand_0.mid
1,piece27,1,-1,phrases/BanjoKazooie_Motzhand_1.mid
1,piece27,2,-1,phrases/BanjoKazooie_Motzhand_2.mid
-1,piece1,0,-1,phrases/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_0.mid
-1,piece1,1,-1,phrases/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_1.mid
-1,piece1,2,-1,phrases/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_2.mid
-1,piece1,3,-1,phrases/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_3.mid
-1,piece1,4,-1,phrases/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_4.mid
1,piece1,5,-1,phrases/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_5.mid
1,piece1,6,1,phrases/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_6.mid
1,piece1,7,2,phrases/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_7.mid
1,piece1,8,3,phrases/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_8.mid
1,piece1,9,4,phrases/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_9.mid
1,piece44,0,-1,phrases/Final_Fantasy_7_AerithsTheme_0.mid
1,piece44,1,-1,phrases/Final_Fantasy_7_AerithsTheme_1.mid
1,piece44,2,-1,phrases/Final_Fantasy_7_AerithsTheme_2.mid
1,piece44,3,-1,phrases/Final_Fantasy_7_AerithsTheme_3.mid
1,piece44,4,-1,phrases/Final_Fantasy_7_AerithsTheme_4.mid
1,piece44,5,-1,phrases/Final_Fantasy_7_AerithsTheme_5.mid
1,piece44,6,-1,phrases/Final_Fantasy_7_AerithsTheme_6.mid
1,piece44,7,-1,phrases/Final_Fantasy_7_AerithsTheme_7.mid
1,piece44,8,-1,phrases/Final_Fantasy_7_AerithsTheme_8.mid
1,piece44,9,-1,phrases/Final_Fantasy_7_AerithsTheme_9.mid
1,piece44,10,-1,phrases/Final_Fantasy_7_AerithsTheme_10.mid
-1,piece93,0,-1,phrases/Final_Fantasy_7_TheNightmareBegins_0.mid
-1,piece93,1,-1,phrases/Final_Fantasy_7_TheNightmareBegins_1.mid
-1,piece93,2,-1,phrases/Final_Fantasy_7_TheNightmareBegins_2.mid
-1,piece93,3,-1,phrases/Final_Fantasy_7_TheNightmareBegins_3.mid
-1,piece93,4,-1,phrases/Final_Fantasy_7_TheNightmareBegins_4.mid
-1,piece93,5,-1,phrases/Final_Fantasy_7_TheNightmareBegins_5.mid
-1,piece93,6,-1,phrases/Final_Fantasy_7_TheNightmareBegins_6.mid
-1,piece93,7,-1,phrases/Final_Fantasy_7_TheNightmareBegins_7.mid
-1,piece93,8,-1,phrases/Final_Fantasy_7_TheNightmareBegins_8.mid
-1,piece93,9,-1,phrases/Final_Fantasy_7_TheNightmareBegins_9.mid
-1,piece93,10,-1,phrases/Final_Fantasy_7_TheNightmareBegins_10.mid
-1,piece93,11,-1,phrases/Final_Fantasy_7_TheNightmareBegins_11.mid
-1,piece93,12,-1,phrases/Final_Fantasy_7_TheNightmareBegins_12.mid
-1,piece93,13,-1,phrases/Final_Fantasy_7_TheNightmareBegins_13.mid
-1,piece93,14,-1,phrases/Final_Fantasy_7_TheNightmareBegins_14.mid
1,piece93,15,-1,phrases/Final_Fantasy_7_TheNightmareBegins_15.mid
1,piece65,0,-1,phrases/Super_Mario_World_Overworld_0.mid
1,piece65,1,-1,phrases/Super_Mario_World_Overworld_1.mid
1,piece65,2,-1,phrases/Super_Mario_World_Overworld_2.mid
1,piece65,3,-1,phrases/Super_Mario_World_Overworld_3.mid
1,piece65,4,-1,phrases/Super_Mario_World_Overworld_4.mid
1,piece65,5,-1,phrases/Super_Mario_World_Overworld_5.mid
1,piece65,6,-1,phrases/Super_Mario_World_Overworld_6.mid
1,piece65,7,-1,phrases/Super_Mario_World_Overworld_7.mid
1,piece65,8,-1,phrases/Super_Mario_World_Overworld_8.mid
1,piece65,9,-1,phrases/Super_Mario_World_Overworld_9.mid
1,piece65,10,-1,phrases/Super_Mario_World_Overworld_10.mid
1,piece65,11,-1,phrases/Super_Mario_World_Overworld_11.mid
1,piece91,0,-1,phrases/Donkey_Kong_Country_2_JibJig_0.mid
1,piece91,1,-1,phrases/Donkey_Kong_Country_2_JibJig_1.mid
1,piece91,2,-1,phrases/Donkey_Kong_Country_2_JibJig_2.mid
1,piece91,3,-1,phrases/Donkey_Kong_Country_2_JibJig_3.mid
1,piece91,4,-1,phrases/Donkey_Kong_Country_2_JibJig_4.mid
1,piece91,5,-1,phrases/Donkey_Kong_Country_2_JibJig_5.mid
1,piece91,6,-1,phrases/Donkey_Kong_Country_2_JibJig_6.mid
1,piece91,7,-1,phrases/Donkey_Kong_Country_2_JibJig_7.mid
1,piece91,8,-1,phrases/Donkey_Kong_Country_2_JibJig_8.mid
1,piece91,9,-1,phrases/Donkey_Kong_Country_2_JibJig_9.mid
1,piece91,10,-1,phrases/Donkey_Kong_Country_2_JibJig_10.mid
1,piece91,11,-1,phrases/Donkey_Kong_Country_2_JibJig_11.mid
-1,piece54,0,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_0.mid
-1,piece54,1,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_1.mid
-1,piece54,2,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_2.mid
-1,piece54,3,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_3.mid
-1,piece54,4,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_4.mid
-1,piece54,5,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_5.mid
-1,piece54,6,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_6.mid
-1,piece54,7,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_7.mid
-1,piece54,8,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_8.mid
-1,piece54,9,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_9.mid
-1,piece54,10,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_10.mid
-1,piece54,11,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_11.mid
-1,piece54,12,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_12.mid
-1,piece54,13,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_13.mid
-1,piece54,14,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_14.mid
-1,piece54,15,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_15.mid
-1,piece54,16,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_16.mid
-1,piece54,17,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_17.mid
1,piece54,18,-1,phrases/Final_Fantasy_7_ItsDifficultToStandOnBothFeetIsntIt_18.mid
1,piece31,0,-1,phrases/Legend_Of_Zelda_The_Ocarina_Of_Time_OwlsTheme_0.mid
1,piece31,1,-1,phrases/Legend_Of_Zelda_The_Ocarina_Of_Time_OwlsTheme_1.mid
1,piece31,2,-1,phrases/Legend_Of_Zelda_The_Ocarina_Of_Time_OwlsTheme_2.mid
1,piece31,3,-1,phrases/Legend_Of_Zelda_The_Ocarina_Of_Time_OwlsTheme_3.mid
1,piece31,4,-1,phrases/Legend_Of_Zelda_The_Ocarina_Of_Time_OwlsTheme_4.mid
1,piece31,5,1,phrases/Legend_Of_Zelda_The_Ocarina_Of_Time_OwlsTheme_5.mid
1,piece31,6,-1,phrases/Legend_Of_Zelda_The_Ocarina_Of_Time_OwlsTheme_6.mid
1,piece31,7,-1,phrases/Legend_Of_Zelda_The_Ocarina_Of_Time_OwlsTheme_7.mid
1,piece31,8,-1,phrases/Legend_Of_Zelda_The_Ocarina_Of_Time_OwlsTheme_8.mid
1,piece41,0,-1,phrases/Shadow_of_the_Colossus_TheFarthestLand_0.mid
1,piece41,1,-1,phrases/Shadow_of_the_Colossus_TheFarthestLand_1.mid
1,piece41,2,-1,phrases/Shadow_of_the_Colossus_TheFarthestLand_2.mid
1,piece41,3,-1,phrases/Shadow_of_the_Colossus_TheFarthestLand_3.mid
1,piece41,4,-1,phrases/Shadow_of_the_Colossus_TheFarthestLand_4.mid
1,piece41,5,-1,phrases/Shadow_of_the_Colossus_TheFarthestLand_5.mid
1,piece41,6,-1,phrases/Shadow_of_the_Colossus_TheFarthestLand_6.mid
1,piece41,7,-1,phrases/Shadow_of_the_Colossus_TheFarthestLand_7.mid
1,piece41,8,-1,phrases/Shadow_of_the_Colossus_TheFarthestLand_8.mid
1,piece41,9,-1,phrases/Shadow_of_the_Colossus_TheFarthestLand_9.mid
1,piece41,10,-1,phrases/Shadow_of_the_Colossus_TheFarthestLand_10.mid
1,piece41,11,-1,phrases/Shadow_of_the_Colossus_TheFarthestLand_11.mid
1,piece41,12,-1,phrases/Shadow_of_the_Colossus_TheFarthestLand_12.mid
