id,series,console,game,piece,midi,valence,arousal
8013,Banjo-Kazooie,N64,Banjo-Kazooie,Boggys Igloo Happy,labelled/phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Boggys Igloo Happy_0.mid,1,1
8073,Banjo-Kazooie,N64,Banjo-Kazooie,Boggys Igloo Sad,labelled/phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Boggys Igloo Sad_0.mid,1,-1
8029,Banjo-Kazooie,N64,Banjo-Kazooie,Bubblegloop Swamp,labelled/phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Bubblegloop Swamp_0.mid,1,1
8022,Banjo-Kazooie,N64,Banjo-Kazooie,Click Clock Wood,labelled/phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Click Clock Wood_0.mid,1,1
8066,Banjo-Kazooie,N64,Banjo-Kazooie,Ending,labelled/phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Ending_0.mid,1,-1
8079,Banjo-Kazooie,N64,Banjo-Kazooie,Freezeezy Peak,labelled/phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Freezeezy Peak_0.mid,1,1
8091,Banjo-Kazooie,N64,Banjo-Kazooie,Gobis Valley,labelled/phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Gobis Valley_0.mid,1,1
8093,Banjo-Kazooie,N64,Banjo-Kazooie,Mad Monster Mansion,labelled/phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Mad Monster Mansion_0.mid,-1,1
8019,Banjo-Kazooie,N64,Banjo-Kazooie,Motzhand,labelled/phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Motzhand_0.mid,1,1
8051,Banjo-Kazooie,N64,Banjo-Kazooie,Mumbos Mountain,labelled/phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Mumbos Mountain_0.mid,1,1
8129,Banjo-Kazooie,N64,Banjo-Kazooie,Rusty Bucket Bay Aquatic,labelled/phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Rusty Bucket Bay Aquatic_0.mid,1,1
8170,Banjo-Kazooie,N64,Banjo-Tooie,Cauldron Keep,labelled/phrases/Banjo-Kazooie_N64_Banjo-Tooie_Cauldron Keep_0.mid,-1,1
8099,Banjo-Kazooie,N64,Banjo-Tooie,Chilly Willy Chilli Billi,labelled/phrases/Banjo-Kazooie_N64_Banjo-Tooie_Chilly Willy Chilli Billi_0.mid,-1,1
8172,Banjo-Kazooie,N64,Banjo-Tooie,End Credits,labelled/phrases/Banjo-Kazooie_N64_Banjo-Tooie_End Credits_0.mid,1,1
8112,Banjo-Kazooie,N64,Banjo-Tooie,Here Comes Trouble,labelled/phrases/Banjo-Kazooie_N64_Banjo-Tooie_Here Comes Trouble_0.mid,-1,1
8198,Banjo-Kazooie,N64,Banjo-Tooie,Isle O Hags Cauldron Keep,labelled/phrases/Banjo-Kazooie_N64_Banjo-Tooie_Isle O Hags Cauldron Keep_0.mid,-1,-1
