valence,arousal,id,part,repeat,filepath
1,0,piece_1,0,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Continue_0.mid
1,0,piece_1,4,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Continue_4.mid
1,0,piece_1,8,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Continue_8.mid
1,0,piece_1,12,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Continue_12.mid
1,0,piece_1,16,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Continue_16.mid
1,0,piece_1,20,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Continue_20.mid
1,0,piece_1,24,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Continue_24.mid
1,1,piece_3,0,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_0.mid
1,1,piece_3,4,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_4.mid
1,1,piece_3,8,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_8.mid
1,1,piece_3,12,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_12.mid
1,1,piece_3,16,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_16.mid
1,1,piece_3,20,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_20.mid
1,1,piece_3,24,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_24.mid
1,1,piece_3,28,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_28.mid
1,1,piece_3,32,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_32.mid
1,1,piece_3,36,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_36.mid
1,1,piece_3,40,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_40.mid
1,1,piece_3,44,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_44.mid
1,1,piece_3,48,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_48.mid
1,1,piece_3,52,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_52.mid
1,1,piece_3,56,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Deku Palace_56.mid
1,0,piece_4,0,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Holding My Thoughts in My Heart_0.mid
1,0,piece_4,4,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Holding My Thoughts in My Heart_4.mid
1,0,piece_4,8,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Holding My Thoughts in My Heart_8.mid
