id,series,console,game,piece,midi,pdf
2932,Ace Attorney,NDS,Ace Attorney Investigations Miles Edgeworth,Kay Faraday The Great Truth Burglar,unlabelled/midi/Ace Attorney_NDS_Ace Attorney Investigations Miles Edgeworth_Kay Faraday The Great Truth Burglar.mid,unlabelled/pdf/Ace Attorney_NDS_Ace Attorney Investigations Miles Edgeworth_Kay Faraday The Great Truth Burglar.pdf
4627,Ace Attorney,NDS,Ace Attorney Investigations Miles Edgeworth,Pursuit Lying Coldly,unlabelled/midi/Ace Attorney_NDS_Ace Attorney Investigations Miles Edgeworth_Pursuit Lying Coldly.mid,unlabelled/pdf/Ace Attorney_NDS_Ace Attorney Investigations Miles Edgeworth_Pursuit Lying Coldly.pdf
4022,Ace Attorney,NDS,Apollo Justice Ace Attorney,Court Begins,unlabelled/midi/Ace Attorney_NDS_Apollo Justice Ace Attorney_Court Begins.mid,unlabelled/pdf/Ace Attorney_NDS_Apollo Justice Ace Attorney_Court Begins.pdf
579,Ace Attorney,NDS,Apollo Justice Ace Attorney,Cross-Examination Moderato 2007,unlabelled/midi/Ace Attorney_NDS_Apollo Justice Ace Attorney_Cross-Examination Moderato 2007.mid,unlabelled/pdf/Ace Attorney_NDS_Apollo Justice Ace Attorney_Cross-Examination Moderato 2007.pdf
2555,Ace Attorney,NDS,Apollo Justice Ace Attorney,Telling the Truth 2007,unlabelled/midi/Ace Attorney_NDS_Apollo Justice Ace Attorney_Telling the Truth 2007.mid,unlabelled/pdf/Ace Attorney_NDS_Apollo Justice Ace Attorney_Telling the Truth 2007.pdf
3696,Ace Attorney,NDS,Apollo Justice Ace Attorney,Troupe Gramarye,unlabelled/midi/Ace Attorney_NDS_Apollo Justice Ace Attorney_Troupe Gramarye.mid,unlabelled/pdf/Ace Attorney_NDS_Apollo Justice Ace Attorney_Troupe Gramarye.pdf
2437,Ace Attorney,NDS,Gyakuten Kenji 2,Bonds A Believing Heart,unlabelled/midi/Ace Attorney_NDS_Gyakuten Kenji 2_Bonds A Believing Heart.mid,unlabelled/pdf/Ace Attorney_NDS_Gyakuten Kenji 2_Bonds A Believing Heart.pdf
4005,Ace Attorney,NDS,Gyakuten Kenji 2,Hakari Mikagami Goddess of Law,unlabelled/midi/Ace Attorney_NDS_Gyakuten Kenji 2_Hakari Mikagami Goddess of Law.mid,unlabelled/pdf/Ace Attorney_NDS_Gyakuten Kenji 2_Hakari Mikagami Goddess of Law.pdf
4638,Ace Attorney,NDS,Gyakuten Kenji 2,Pursuit Wanting to Find the Truth,unlabelled/midi/Ace Attorney_NDS_Gyakuten Kenji 2_Pursuit Wanting to Find the Truth.mid,unlabelled/pdf/Ace Attorney_NDS_Gyakuten Kenji 2_Pursuit Wanting to Find the Truth.pdf
2826,Ace Attorney,NDS,Gyakuten Kenji 2,Raymond Shields Joking Motive,unlabelled/midi/Ace Attorney_NDS_Gyakuten Kenji 2_Raymond Shields Joking Motive.mid,unlabelled/pdf/Ace Attorney_NDS_Gyakuten Kenji 2_Raymond Shields Joking Motive.pdf
2481,Ace Attorney,NDS,Gyakuten Kenji 2,Yumihiko Ichiyanagi First-Class Reasoning,unlabelled/midi/Ace Attorney_NDS_Gyakuten Kenji 2_Yumihiko Ichiyanagi First-Class Reasoning.mid,unlabelled/pdf/Ace Attorney_NDS_Gyakuten Kenji 2_Yumihiko Ichiyanagi First-Class Reasoning.pdf
476,Ace Attorney,NDS,Phoenix Wright Ace Attorney,Ace Attorney - Court Begins,unlabelled/midi/Ace Attorney_NDS_Phoenix Wright Ace Attorney_Ace Attorney - Court Begins.mid,unlabelled/pdf/Ace Attorney_NDS_Phoenix Wright Ace Attorney_Ace Attorney - Court Begins.pdf
474,Ace Attorney,NDS,Phoenix Wright Ace Attorney,Cross-Examination Allegro 2001,unlabelled/midi/Ace Attorney_NDS_Phoenix Wright Ace Attorney_Cross-Examination Allegro 2001.mid,unlabelled/pdf/Ace Attorney_NDS_Phoenix Wright Ace Attorney_Cross-Examination Allegro 2001.pdf
