label,id,part,repeat,filepath
0,piece_2,0,-1,phrases/valence/Final_Fantasy_7_OppressedPeople_0.mid
0,piece_2,1,-1,phrases/valence/Final_Fantasy_7_OppressedPeople_1.mid
0,piece_2,2,-1,phrases/valence/Final_Fantasy_7_OppressedPeople_2.mid
0,piece_2,3,-1,phrases/valence/Final_Fantasy_7_OppressedPeople_3.mid
0,piece_2,4,-1,phrases/valence/Final_Fantasy_7_OppressedPeople_4.mid
0,piece_2,5,-1,phrases/valence/Final_Fantasy_7_OppressedPeople_5.mid
0,piece_2,6,-1,phrases/valence/Final_Fantasy_7_OppressedPeople_6.mid
0,piece_2,7,-1,phrases/valence/Final_Fantasy_7_OppressedPeople_7.mid
0,piece_2,8,-1,phrases/valence/Final_Fantasy_7_OppressedPeople_8.mid
0,piece_2,9,-1,phrases/valence/Final_Fantasy_7_OppressedPeople_9.mid
1,piece_3,0,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_0.mid
1,piece_3,1,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_1.mid
1,piece_3,2,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_2.mid
1,piece_3,3,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_3.mid
1,piece_3,4,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_4.mid
1,piece_3,5,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_5.mid
1,piece_3,6,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_6.mid
1,piece_3,7,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_7.mid
1,piece_3,8,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_8.mid
1,piece_3,9,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_9.mid
1,piece_3,10,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_10.mid
1,piece_3,11,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_11.mid
1,piece_3,12,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_12.mid
1,piece_3,13,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_13.mid
1,piece_3,14,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_DekuPalace_14.mid
1,piece_4,0,-1,phrases/valence/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_0.mid
1,piece_4,1,-1,phrases/valence/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_1.mid
1,piece_4,2,-1,phrases/valence/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_2.mid
1,piece_4,3,-1,phrases/valence/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_3.mid
1,piece_4,4,-1,phrases/valence/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_4.mid
1,piece_4,5,-1,phrases/valence/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_5.mid
1,piece_4,6,-1,phrases/valence/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_6.mid
1,piece_4,7,-1,phrases/valence/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_7.mid
1,piece_7,0,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_0.mid
1,piece_7,1,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_1.mid
1,piece_7,2,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_2.mid
1,piece_7,3,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_3.mid
1,piece_7,4,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_4.mid
1,piece_7,5,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_5.mid
1,piece_7,6,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_6.mid
1,piece_7,7,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_7.mid
1,piece_7,8,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_8.mid
1,piece_7,9,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_9.mid
1,piece_7,10,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_10.mid
1,piece_7,11,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_11.mid
1,piece_7,12,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_12.mid
1,piece_7,13,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_13.mid
1,piece_7,14,-1,phrases/valence/Final_Fantasy_7_ElectricdeChocobo_14.mid
0,piece_11,0,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_0.mid
0,piece_11,1,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_1.mid
0,piece_11,2,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_2.mid
0,piece_11,3,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_3.mid
0,piece_11,4,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_4.mid
0,piece_11,5,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_5.mid
0,piece_11,6,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_6.mid
0,piece_11,7,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_7.mid
0,piece_11,8,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_8.mid
0,piece_11,9,-1,phrases/valence/Legend_Of_Zelda_The_Majoras_Mask_TheMayorsOffice_9.mid
1,piece_14,0,-1,phrases/valence/Super_Mario_World_EndingTheme_0.mid
1,piece_14,1,-1,phrases/valence/Super_Mario_World_EndingTheme_1.mid
1,piece_14,2,-1,phrases/valence/Super_Mario_World_EndingTheme_2.mid
1,piece_14,3,-1,phrases/valence/Super_Mario_World_EndingTheme_3.mid
1,piece_14,4,-1,phrases/valence/Super_Mario_World_EndingTheme_4.mid
1,piece_14,5,-1,phrases/valence/Super_Mario_World_EndingTheme_5.mid
1,piece_14,6,-1,phrases/valence/Super_Mario_World_EndingTheme_6.mid
1,piece_14,7,-1,phrases/valence/Super_Mario_World_EndingTheme_7.mid
1,piece_14,8,-1,phrases/valence/Super_Mario_World_EndingTheme_8.mid
1,piece_14,9,-1,phrases/valence/Super_Mario_World_EndingTheme_9.mid
1,piece_14,10,-1,phrases/valence/Super_Mario_World_EndingTheme_10.mid
1,piece_14,11,-1,phrases/valence/Super_Mario_World_EndingTheme_11.mid
1,piece_14,12,-1,phrases/valence/Super_Mario_World_EndingTheme_12.mid
1,piece_14,13,-1,phrases/valence/Super_Mario_World_EndingTheme_13.mid
0,piece_15,0,-1,phrases/valence/Super_Mario_World_Castle_0.mid
0,piece_15,1,-1,phrases/valence/Super_Mario_World_Castle_1.mid
0,piece_15,2,-1,phrases/valence/Super_Mario_World_Castle_2.mid
0,piece_15,3,-1,phrases/valence/Super_Mario_World_Castle_3.mid
0,piece_15,4,-1,phrases/valence/Super_Mario_World_Castle_4.mid
0,piece_15,5,-1,phrases/valence/Super_Mario_World_Castle_5.mid
0,piece_15,6,-1,phrases/valence/Super_Mario_World_Castle_6.mid
0,piece_15,7,-1,phrases/valence/Super_Mario_World_Castle_7.mid
0,piece_15,8,-1,phrases/valence/Super_Mario_World_Castle_8.mid
0,piece_15,9,-1,phrases/valence/Super_Mario_World_Castle_9.mid
0,piece_15,10,-1,phrases/valence/Super_Mario_World_Castle_10.mid
0,piece_15,11,-1,phrases/valence/Super_Mario_World_Castle_11.mid
0,piece_15,12,-1,phrases/valence/Super_Mario_World_Castle_12.mid
0,piece_15,13,-1,phrases/valence/Super_Mario_World_Castle_13.mid
0,piece_15,14,-1,phrases/valence/Super_Mario_World_Castle_14.mid
0,piece_15,15,-1,phrases/valence/Super_Mario_World_Castle_15.mid
0,piece_15,16,-1,phrases/valence/Super_Mario_World_Castle_16.mid
0,piece_15,17,-1,phrases/valence/Super_Mario_World_Castle_17.mid
0,piece_15,18,-1,phrases/valence/Super_Mario_World_Castle_18.mid
0,piece_15,19,-1,phrases/valence/Super_Mario_World_Castle_19.mid
0,piece_15,20,-1,phrases/valence/Super_Mario_World_Castle_20.mid
0,piece_15,21,-1,phrases/valence/Super_Mario_World_Castle_21.mid
0,piece_15,22,-1,phrases/valence/Super_Mario_World_Castle_22.mid
0,piece_15,23,-1,phrases/valence/Super_Mario_World_Castle_23.mid
0,piece_16,0,-1,phrases/valence/Goldeneye_Caverns_0.mid
0,piece_16,1,-1,phrases/valence/Goldeneye_Caverns_1.mid
0,piece_16,2,-1,phrases/valence/Goldeneye_Caverns_2.mid
